nome_matrice,righe,colonne,esecuzione_completata_1,tempo_di_esecuzione_1,n_iter_1,massima_occupazione_memoria_1,numero_mhs_trovati,cardinalita_minima,cardinalita_massima,tempo_pre,nuovo_numero_righe,nuovo_numero_colonne,esecuzione_completata_2,tempo_di_esecuzione_2,n_iter_2,massima_occupazione_memoria_2,numero_mhs_trovati_2,cardinalita_minima_2,cardinalita_massima_2,risultati_uguali
c432.000,4,160,1,0.25,14318,72.70703125,854,1,3,0.0,4,53,1,0.265625,5010,72.8359375,854,1,3,1
c432.001,4,160,1,0.21875,4078,72.3125,152,1,4,0.0,4,25,1,0.21875,1354,68.9609375,152,1,4,1
c432.002,4,160,1,0.25,8195,72.23828125,303,1,2,0.0,4,58,1,0.21875,2603,71.03515625,303,1,2,1
c432.003,2,160,1,0.203125,1843,70.97265625,52,1,2,0.0,2,17,1,0.15625,145,69.3203125,52,1,2,1
c432.004,2,160,1,0.234375,4764,70.37109375,577,1,2,0.0,2,51,1,0.1875,1315,70.19140625,577,1,2,1
c432.005,4,160,1,0.1875,862,69.984375,16,1,2,0.0,3,16,1,0.171875,136,69.44140625,16,1,2,1
c432.006,3,160,1,0.234375,8096,71.40234375,30,1,2,0.0,3,29,1,0.1875,973,69.5234375,30,1,2,1
c432.007,4,160,1,0.234375,25004,72.63671875,169,1,3,0.0,4,36,1,0.25,3624,71.13671875,169,1,3,1
c432.008,5,160,1,0.25,11340,72.515625,257,1,3,0.0,5,39,1,0.21875,2050,69.86328125,257,1,3,1
c432.009,2,160,1,0.203125,4976,70.578125,436,1,2,0.0,2,66,1,0.21875,2183,69.2265625,436,1,2,1
c432.010,10,160,1,1.453125,1445859,75.8671875,48316,2,5,0.0,9,70,1,1.0,847771,75.859375,48316,2,5,1
c432.011,7,160,1,0.375,63479,76.32421875,5562,2,4,0.0,5,75,1,0.34375,40580,78.03125,5562,2,4,1
c432.012,9,160,1,0.734375,479458,77.375,10197,2,6,0.0,9,61,1,0.578125,277841,76.28515625,10197,2,6,1
c432.013,7,160,1,0.34375,64437,79.26171875,3636,2,4,0.0,6,67,1,0.359375,25694,78.8046875,3636,2,4,1
c432.014,16,160,1,3.28125,3004792,75.30078125,3273,2,6,0.0,15,94,1,1.796875,1448215,77.5,3273,2,6,1
c432.015,6,160,1,0.28125,13921,74.9375,631,2,4,0.0,5,32,1,0.28125,7799,75.42578125,631,2,4,1
c432.016,6,160,1,0.421875,166328,75.70703125,1044,2,4,0.0,6,83,1,0.34375,71539,77.14453125,1044,2,4,1
c432.017,8,160,1,0.625,477665,75.44140625,9721,2,5,0.0,8,43,1,0.421875,112308,76.8671875,9721,2,5,1
c432.018,11,160,1,3.203125,2996804,72.98828125,80005,2,6,0.0,11,103,1,2.21875,2178344,75.7578125,80005,2,6,1
c432.019,12,160,1,5.59375,5310058,76.4921875,25790,2,6,0.0,11,93,1,2.46875,2500131,77.015625,25790,2,6,1
c432.020,12,160,1,7.296875,6103994,80.3203125,166616,3,7,0.0,12,68,1,5.9375,4663716,81.76953125,166616,3,7,1
c432.021,6,160,1,0.703125,629092,76.78125,5239,2,4,0.0,6,79,1,0.765625,238817,78.875,5239,2,4,1
c432.022,17,160,1,16.09375,13309774,91.7578125,662500,3,7,0.015625,15,99,1,13.75,12187349,93.6875,662500,3,7,1
c432.023,24,160,1,263.6875,156816664,186.73046875,452629,3,9,0.0,22,107,1,173.078125,111002722,169.44140625,452629,3,9,1
c432.024,20,160,1,331.015625,232388989,351.578125,358492,3,8,0.0,19,114,1,304.53125,223795429,351.28515625,358492,3,8,1
c432.025,12,160,1,23.296875,24347813,94.58203125,124196,3,7,0.0,12,105,1,17.671875,17325256,94.95703125,124196,3,7,1
c432.026,18,160,1,260.328125,227874491,136.8828125,680241,3,7,0.0,18,84,1,84.921875,68635971,140.6328125,680241,3,7,1
c432.027,9,160,1,1.796875,1839601,73.4296875,14232,3,6,0.0,8,63,1,1.421875,1213723,76.99609375,14232,3,6,1
c432.028,8,160,1,2.234375,2394162,76.98828125,51187,2,5,0.0,8,97,1,1.515625,1436727,76.79296875,51187,2,5,1
c432.029,12,160,1,5.546875,4563759,75.50390625,68316,3,8,0.0,11,78,1,3.03125,2599197,77.28125,68316,3,8,1
c432.030,19,160,1,3619.875,2429338746,2505.40234375,18834313,4,10,0.0,19,100,1,3998.046875,2001279032,2504.8203125,18834313,4,10,1
c432.034,15,160,1,46.9375,45102530,93.50390625,35925,3,7,0.0,15,103,1,21.078125,18891912,95.3984375,35925,3,7,1
c432.035,18,160,1,2811.140625,1635433840,1937.7578125,42895795,4,9,0.0,18,99,1,1754.15625,1009367816,1936.95703125,42895795,4,9,1
c432.036,11,160,1,2.625,2475427,74.9296875,5850,3,6,0.0,11,67,1,2.25,1905521,74.8125,5850,3,6,1
c432.038,14,160,1,70.859375,60511517,133.8984375,603756,4,9,0.0,13,87,1,53.171875,44635339,135.62109375,603756,4,9,1
c432.039,19,160,1,58.015625,43446261,112.609375,57308,4,7,0.0,16,92,1,7.59375,6058558,81.28125,57308,4,7,1
c432.041,21,160,1,388.65625,259612463,299.16796875,253944,4,9,0.0,20,109,1,209.828125,140238294,301.5703125,253944,4,9,1
c432.043,21,160,1,120.6875,78132511,166.91796875,424656,4,9,0.0,20,74,1,112.65625,75255086,168.23828125,424656,4,9,1
c499.000,2,202,1,0.203125,4658,70.828125,197,1,2,0.0,2,30,1,0.1875,464,69.2890625,197,1,2,1
c499.001,3,202,1,0.296875,88844,74.140625,2747,1,3,0.0,3,45,1,0.265625,10617,73.56640625,2747,1,3,1
c499.002,3,202,1,0.28125,64444,74.046875,1712,1,3,0.0,3,42,1,0.328125,7056,72.76953125,1712,1,3,1
c499.003,2,202,1,0.234375,4585,71.015625,184,1,2,0.0,2,29,1,0.1875,434,69.4453125,184,1,2,1
c499.004,2,202,1,0.203125,4610,70.23828125,184,1,2,0.0,2,29,1,0.1875,434,69.47265625,184,1,2,1
c499.005,2,202,1,0.21875,3526,70.46484375,116,1,2,0.0,2,27,1,0.1875,315,69.51171875,116,1,2,1
c499.008,2,202,1,0.21875,2620,69.99609375,54,1,2,0.0,2,19,1,0.171875,188,69.46875,54,1,2,1
c499.009,2,202,1,0.203125,4634,70.38671875,184,1,2,0.0,2,29,1,0.21875,434,71.3046875,184,1,2,1
c499.010,5,202,1,0.4375,322635,76.83984375,2582,2,4,0.0,5,45,1,0.34375,37014,79.66015625,2582,2,4,1
c499.011,5,202,1,2.265625,4148447,75.1640625,49004,2,5,0.0,5,59,1,0.703125,559722,76.453125,49004,2,5,1
c499.012,5,202,1,4.40625,8049885,74.2734375,122678,2,5,0.0,5,65,1,1.046875,1042595,76.75390625,122678,2,5,1
c499.013,6,202,1,3.53125,5300634,76.0234375,63538,2,5,0.0,6,62,1,0.890625,747621,77.41015625,63538,2,5,1
c499.014,5,202,1,0.484375,331676,73.91015625,3820,2,4,0.0,5,45,1,0.359375,36331,76.23828125,3820,2,4,1
c499.015,7,202,1,1.375,1605583,74.34375,15324,2,5,0.0,7,74,1,0.640625,396763,79.125,15324,2,5,1
c499.018,5,202,1,0.453125,190616,74.12890625,3160,2,5,0.0,5,40,1,0.3125,32191,78.61328125,3160,2,5,1
c499.019,4,202,1,0.296875,95441,72.96875,3709,2,3,0.0,4,47,1,0.265625,12247,73.52734375,3709,2,3,1
c499.020,7,202,1,4.125,5871174,73.2109375,77716,3,7,0.0,7,57,1,1.625,1426929,78.77734375,77716,3,7,1
c499.021,10,202,1,255.546875,336601213,140.45703125,1690332,3,7,0.0,10,86,1,44.34375,49514975,126.37890625,1690332,3,7,1
c499.022,9,202,1,93.328125,126203309,96.87890625,291562,3,7,0.0,9,93,1,26.546875,31323012,96.4453125,291562,3,7,1
c499.023,9,202,1,86.21875,113932325,88.88671875,557476,3,7,0.0,9,74,1,15.625,17699156,90.94140625,557476,3,7,1
c499.024,11,202,1,16.921875,18585140,76.54296875,81832,3,9,0.0,11,57,1,4.84375,4263743,78.3125,81832,3,9,1
c499.025,9,202,1,20.265625,27677266,76.9296875,227262,3,6,0.0,9,89,1,6.84375,7337268,80.046875,227262,3,6,1
c499.028,6,202,1,1.171875,1356559,76.30859375,19222,3,5,0.0,6,51,1,0.53125,185416,77.55078125,19222,3,5,1
c499.029,9,202,1,380.46875,522729285,144.4296875,1580608,3,8,0.0,9,81,1,70.140625,79690534,141.01953125,1580608,3,8,1
c499.030,9,202,1,35.0,42390903,88.8203125,719352,4,7,0.0,9,67,1,9.46875,8854707,92.03515625,719352,4,7,1
c499.031,9,202,1,258.84375,360879670,117.15234375,540070,3,7,0.0,9,81,1,49.046875,57432125,115.6953125,540070,3,7,1
c499.032,9,202,1,6.0625,6784071,73.6328125,146696,4,8,0.0,9,59,1,2.359375,1855538,75.7890625,146696,4,8,1
